 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.31.2.13:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 997-347-007
39.7.230.167 - - [24/Dec/2023 11:17:04] "GET / HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:13] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:13] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:13] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:15] "GET /swagger.json HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:15] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
23.178.112.108 - - [24/Dec/2023 11:38:45] "GET /.well-known/acme-challenge/ZafC_jobsqmz3Tpgso--2CvlwiOhID15CZRtXPV3UoA HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 11:42:43] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:42:44] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:42:44] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:42:44] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:42:44] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:42:44] "GET /swagger.json HTTP/1.1" 200 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET /gate.php HTTP/1.1" 404 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET /robots.txt HTTP/1.1" 404 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET / HTTP/1.1" 200 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET /robots.txt HTTP/1.1" 404 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET /aaaaaaaaaaaaaaaaaaaaaaaaaqr HTTP/1.1" 404 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET /99vt HTTP/1.1" 404 -
54.91.20.21 - - [24/Dec/2023 11:44:23] "GET /99vu HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 11:45:05] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:45:05] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:45:05] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:45:05] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:45:05] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:45:06] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:45:06] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 304 -
54.91.20.21 - - [24/Dec/2023 11:46:27] code 400, message Bad HTTP/0.9 request type ('íeqÂ\x01\x01\x00\x00\x00\x02\x00±\x9fÒï\x14\x84')
54.91.20.21 - - [24/Dec/2023 11:46:27] "íeqÂ\x01\x01\x00\x00\x00\x02\x00±\x9fÒï\x14\x84\x0b$<\x95Ù¤jÏùôðÞõj\x8bÜt\x19`'l\x12\x8f\x8d­+c¾ÜÅ×\x86ÎîéÓ¦zý¾(j\x0fîøw" HTTPStatus.BAD_REQUEST -
54.91.20.21 - - [24/Dec/2023 11:46:27] code 400, message Bad request syntax ('øû"â\x00³v-ÔÞ\x99¾<øè®\x17p=ìOx\x83À8\x97\x14fÛ\x0fI\x96')
54.91.20.21 - - [24/Dec/2023 11:46:27] "øû"â\x00³v-ÔÞ\x99¾<øè®\x17p=ìOx\x83À8\x97\x14fÛ\x0fI\x96" HTTPStatus.BAD_REQUEST -
14.55.102.185 - - [24/Dec/2023 11:48:05] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:05] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:06] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:06] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:06] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:07] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:07] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:10] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:10] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:48:10] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:48:10] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:48:10] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:48:11] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:48:11] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 304 -
34.221.14.94 - - [24/Dec/2023 11:48:22] "GET /.well-known/acme-challenge/AqBVKNGL6cxtHp1wJHjiHc4I3eluE0a4UE3YiSPuy80 HTTP/1.1" 404 -
3.136.83.9 - - [24/Dec/2023 11:48:23] "GET /.well-known/acme-challenge/AqBVKNGL6cxtHp1wJHjiHc4I3eluE0a4UE3YiSPuy80 HTTP/1.1" 404 -
52.14.144.29 - - [24/Dec/2023 11:48:23] "GET /.well-known/acme-challenge/kVZRWQIflpZbZRooTfMbvjppwNteqdRzON2cT9C85s0 HTTP/1.1" 404 -
23.178.112.209 - - [24/Dec/2023 11:48:23] "GET /.well-known/acme-challenge/AqBVKNGL6cxtHp1wJHjiHc4I3eluE0a4UE3YiSPuy80 HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 11:49:16] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:49:16] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:49:16] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:49:16] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:49:16] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:49:16] "GET /swagger.json HTTP/1.1" 200 -
18.188.198.139 - - [24/Dec/2023 11:50:21] "GET / HTTP/1.1" 200 -
54.191.116.231 - - [24/Dec/2023 11:51:37] "GET /.well-known/acme-challenge/8v4kw-TGhcUsosOlUVK7URZWFDBq7ohHxznlqwlLJCE HTTP/1.1" 404 -
34.221.14.94 - - [24/Dec/2023 11:51:37] "GET /.well-known/acme-challenge/VmKx8NVi8__uOHDwh4Ym6jY_2fRy_W1zuETrrfFSyzI HTTP/1.1" 404 -
52.14.144.29 - - [24/Dec/2023 11:51:37] "GET /.well-known/acme-challenge/VmKx8NVi8__uOHDwh4Ym6jY_2fRy_W1zuETrrfFSyzI HTTP/1.1" 404 -
3.136.83.9 - - [24/Dec/2023 11:51:37] "GET /.well-known/acme-challenge/8v4kw-TGhcUsosOlUVK7URZWFDBq7ohHxznlqwlLJCE HTTP/1.1" 404 -
23.178.112.202 - - [24/Dec/2023 11:51:39] "GET /.well-known/acme-challenge/VmKx8NVi8__uOHDwh4Ym6jY_2fRy_W1zuETrrfFSyzI HTTP/1.1" 404 -
90.151.171.108 - - [24/Dec/2023 11:53:12] "CONNECT ip.bablosoft.com:443 HTTP/1.1" 404 -
90.151.171.108 - - [24/Dec/2023 11:53:22] code 400, message Bad request syntax ('\x04\x01\x00P\x8e]\x88\x8e0\x00')
90.151.171.108 - - [24/Dec/2023 11:53:22] "\x04\x01\x00P\x8e]\x88\x8e0\x00" HTTPStatus.BAD_REQUEST -
90.151.171.108 - - [24/Dec/2023 11:53:22] "GET http://ip.bablosoft.com/?Z73841634130Q1 HTTP/1.1" 200 -
90.151.171.108 - - [24/Dec/2023 11:53:32] code 400, message Bad request syntax ('\x05\x01\x00')
90.151.171.108 - - [24/Dec/2023 11:53:32] "\x05\x01\x00" HTTPStatus.BAD_REQUEST -
34.221.14.94 - - [24/Dec/2023 11:54:39] "GET /.well-known/acme-challenge/D2JWDVrrEPbL4bYj9xkcBkS9WfxCeA_2xbP7tQ3FhxE HTTP/1.1" 404 -
3.136.83.9 - - [24/Dec/2023 11:54:40] "GET /.well-known/acme-challenge/XjBGT0dwlfd2BkQwMihF17Yapo6TsCpWMUMfLXvJdjY HTTP/1.1" 404 -
54.191.116.231 - - [24/Dec/2023 11:54:40] "GET /.well-known/acme-challenge/XjBGT0dwlfd2BkQwMihF17Yapo6TsCpWMUMfLXvJdjY HTTP/1.1" 404 -
23.178.112.105 - - [24/Dec/2023 11:54:40] "GET /.well-known/acme-challenge/XjBGT0dwlfd2BkQwMihF17Yapo6TsCpWMUMfLXvJdjY HTTP/1.1" 404 -
52.14.144.29 - - [24/Dec/2023 11:54:40] "GET /.well-known/acme-challenge/D2JWDVrrEPbL4bYj9xkcBkS9WfxCeA_2xbP7tQ3FhxE HTTP/1.1" 404 -
23.178.112.108 - - [24/Dec/2023 11:54:40] "GET /.well-known/acme-challenge/D2JWDVrrEPbL4bYj9xkcBkS9WfxCeA_2xbP7tQ3FhxE HTTP/1.1" 404 -
192.155.90.220 - - [24/Dec/2023 11:55:48] code 400, message Bad request version ('À\x14À')
192.155.90.220 - - [24/Dec/2023 11:55:48] "\x16\x03\x01\x00\x85\x01\x00\x00\x81\x03\x03\x7f©\x8a\x96â\x8b¯I\x1f]B\x0dkvA\x10ÏxuË×\x1cvî\x80T\x16\x06\x99\x84ûª\x00\x00 À/À0À+À,Ì¨Ì©À\x13À\x09À\x14À" HTTPStatus.BAD_REQUEST -
14.55.102.185 - - [24/Dec/2023 11:56:36] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:56:36] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:56:36] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:56:36] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:56:36] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:56:37] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:56:37] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 304 -
52.14.144.29 - - [24/Dec/2023 11:56:46] "GET /.well-known/acme-challenge/L3YYPL4XcL3iDWWYl4o0GsKkc3hWPaBuvuv55exdfVU HTTP/1.1" 404 -
54.191.116.231 - - [24/Dec/2023 11:56:46] "GET /.well-known/acme-challenge/L3YYPL4XcL3iDWWYl4o0GsKkc3hWPaBuvuv55exdfVU HTTP/1.1" 404 -
3.136.83.9 - - [24/Dec/2023 11:56:49] "GET /.well-known/acme-challenge/h_tsCAd__amoZ3Nh1EMcEvt5Cfn438lC9zXAmkwTsx0 HTTP/1.1" 404 -
23.178.112.203 - - [24/Dec/2023 11:56:49] "GET /.well-known/acme-challenge/L3YYPL4XcL3iDWWYl4o0GsKkc3hWPaBuvuv55exdfVU HTTP/1.1" 404 -
18.209.86.113 - - [24/Dec/2023 11:58:26] "GET / HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 12:02:16] "GET / HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 12:02:16] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
218.158.94.200 - - [24/Dec/2023 12:02:17] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
218.158.94.200 - - [24/Dec/2023 12:02:17] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
218.158.94.200 - - [24/Dec/2023 12:02:17] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
218.158.94.200 - - [24/Dec/2023 12:02:17] "GET /swagger.json HTTP/1.1" 200 -
211.231.103.94 - - [24/Dec/2023 12:17:06] "GET / HTTP/1.0" 200 -
211.231.103.94 - - [24/Dec/2023 12:17:06] "GET / HTTP/1.0" 200 -
27.0.238.181 - - [24/Dec/2023 12:17:06] "GET / HTTP/1.0" 200 -
211.231.103.94 - - [24/Dec/2023 12:17:06] "GET / HTTP/1.0" 200 -
90.151.171.106 - - [24/Dec/2023 12:32:54] "CONNECT checkip.amazonaws.com:443 HTTP/1.1" 404 -
90.151.171.106 - - [24/Dec/2023 12:33:04] code 400, message Bad request syntax ('\x04\x01\x00P4\x11}Ù0\x00')
90.151.171.106 - - [24/Dec/2023 12:33:04] "\x04\x01\x00P4\x11}Ù0\x00" HTTPStatus.BAD_REQUEST -
90.151.171.106 - - [24/Dec/2023 12:33:04] "GET http://checkip.amazonaws.com?Z73841634130Q1 HTTP/1.1" 308 -
90.151.171.106 - - [24/Dec/2023 12:33:14] code 400, message Bad request syntax ('\x05\x01\x00')
90.151.171.106 - - [24/Dec/2023 12:33:14] "\x05\x01\x00" HTTPStatus.BAD_REQUEST -
23.178.112.109 - - [24/Dec/2023 12:56:10] "GET /.well-known/acme-challenge/j518VOR19miFhOt0w5OfZA8VtHrRlFU5fsO63QxLXS8 HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 12:56:27] "GET /.well-known/acme-challenge/j518VOR19miFhOt0w5OfZA8VtHrRlFU5fsO63QxLXS8:%20404 HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 12:58:12] "GET /.well-known/acme-challenge/j518VOR19miFhOt0w5OfZA8VtHrRlFU5fsO63QxLXS8 HTTP/1.1" 404 -
45.142.182.76 - - [24/Dec/2023 12:58:37] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 12:59:38] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 12:59:38] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 12:59:38] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 12:59:38] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 12:59:38] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 12:59:40] "GET /swagger.json HTTP/1.1" 200 -
23.178.112.108 - - [24/Dec/2023 12:59:49] "GET /.well-known/acme-challenge/T1Scfdo5-7atmmNw0aEBA1H5dJ7bHKa4R1uS4ml08Ro HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 13:04:44] "GET /.well-known/acme-challenge/liKGxEjx9NsMYgo4gSzMnh0_o28Hukm4YMplAhONo1Y HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 13:04:49] "GET /.well-known/acme-challenge/liKGxEjx9NsMYgo4gSzMnh0_o28Hukm4YMplAhONo1Y HTTP/1.1" 404 -
14.55.102.185 - - [24/Dec/2023 13:06:48] "GET /.well-known/acme-challenge/liKGxEjx9NsMYgo4gSzMnh0_o28Hukm4YMplAhONo1Y HTTP/1.1" 404 -
